Tune,Type,Level,Next Tempo,Status,Practise Link,Guitar,
The Collier's Jig,Jig/Slip Jig,7,N/A,Production,,,
The Lark in the Morning,Jig/Slip Jig,7,N/A,Production,Lark in the Morning - YouTube,,
Inisheer,Waltz,7,N/A,Production,Inisheer (Irish) - fiddle and accordion/melodeon - YouTube,,
Off To California,Hornpipe/Slow Reel/Polka,7,N/A,Production,,,
Bunker Hill,Reel,7,N/A,Production,,,
From Night Till Morn,Reel,7,N/A,Production,,,
The Old Torn Petticoat,Reel,7,N/A,Production,The Old Torn Petticoat / The Dublin Reel / The Wind That Shakes The Barley - YouTube,,
The Monoghan,Jig/Slip Jig,7,N/A,Production,The Monaghan Jig (Traditional Irish Jig) - YouTube,,
Stool Of Repentance,Jig/Slip Jig,7,N/A,Production,,,
Tatter Jack Walsh's,Jig/Slip Jig,7,N/A,Production,,,
Hardiman The Fiddler,Jig/Slip Jig,7,N/A,Production,,,
Wind That Shakes The Barley,Reel,7,N/A,Production,,,
Bean An Ti At Lar,Reel,7,N/A,Production,,,
Musical Priest,Reel,7,N/A,Production,,,
Sally Gardens,Reel,7,N/A,Production,Sally Gardens - YouTube,,
Pigeon On The Gate,Reel,7,N/A,Production,,,
Farewell To Erin,Reel,7,N/A,Production,Farewell To Erin (Reel): Trad Irish Fiddle Lesson by Kevin Burke - YouTube,,
King Of The Fairies,Hornpipe/Slow Reel/Polka,7,N/A,Production,King of the Fairies (cover by Valar) - YouTube,,
McGoldrick's Jig,Reel,7,N/A,Production,,,
The Sportsman's Hornpipe,Hornpipe/Slow Reel/Polka,7,N/A,Production,Sportman's Hornpipe - YouTube,,
Sí Bheag Sí Mhór,Waltz,7,N/A,Production,,,
Cliffs Of Moher,Jig/Slip Jig,7,N/A,Production,,,
Kiss For A Fig,Jig/Slip Jig,7,N/A,Production,Celtic Passion - A Fig for A Kiss and The Tongs by the Fire - YouTube,,
The Scartaglen Slide,Jig/Slip Jig,7,N/A,Production,https://www.youtube.com/watch?v=AqmnLLLfvlU,,
The Blackthorn Stick,Jig/Slip Jig,7,N/A,Production,The Blackthorn Stick - YouTube,,
Out On The Ocean,Jig/Slip Jig,7,N/A,Production,Fergal Scahill's fiddle tune a day 2017 - Day 119 - Out in the Ocean - YouTube,,
Drummond Castle,Jig/Slip Jig,7,N/A,Production,https://www.youtube.com/watch?v=8x729Yy9p8E,,
Hag At The Churn,Jig/Slip Jig,7,N/A,Production,Fergal's Tune a Day - Day 62 - The Hag at the Churn - YouTube,,
The Rolling Wave,Jig/Slip Jig,7,N/A,Production,The Rolling Waves Jig - Irish Fiddle Lesson by Kevin Burke - YouTube,,
The Rambling Pitchfork,Jig/Slip Jig,7,N/A,Production,Connaughtman's Rambles / The Rambling Pitchfork | Irish Jigs | Fiddle and Guitar - YouTube,,
Connachtman's Rambles,Jig/Slip Jig,7,N/A,,,,
The Blarney Pilgrim,Jig/Slip Jig,7,N/A,Production,"The Blarney Pilgrim / John Ryan's Polka (From ""The Titanic"") - YouTube",,
Swallowtail Jig,Jig/Slip Jig,7,N/A,Production,Swallowtail Jig - The Petersens (LIVE) - YouTube,,
Banish Misfortune,Jig/Slip Jig,7,N/A,Production,Banish Misfortune - Trip To Athlone - Trim The Velvet - YouTube,,
Trip To Athlone,Jig/Slip Jig,7,N/A,,,,
The Beekeeper,Jig/Slip Jig,7,N/A,Production,"The Tune Yard, Arise & Go- #1 The Beekeeper Set (jigs and reel) uilleann pipes, fiddle, and guitar - YouTube",,
The Lilting Banshee,Jig/Slip Jig,7,N/A,Production,Crikwater Tune A Week #40 “The Lilting Banshee” aka “The Miller Of Glanmire” - YouTube,,
The Donegal,Jig/Slip Jig,7,N/A,Production,Samhradh (Slow Reel) /Aniar Aduaidh (Jig) /The Donegal Jig - YouTube,,
The Kesh Jig,Jig/Slip Jig,7,N/A,Production,The Kesh / Morrison's Jig - YouTube,,
Morrison's Jig,Jig/Slip Jig,7,N/A,,,,
Kevin McHugh's,Jig/Slip Jig,7,N/A,Production,McHugh's Jig - YouTube,,
The Diplodocus,Jig/Slip Jig,7,N/A,Production,Diplodocus (Jig) - YouTube,,
Apples In Winter,Jig/Slip Jig,7,N/A,Staging,,,
Fig for a Kiss,Jig/Slip Jig,7,N/A,Production,https://www.youtube.com/watch?v=lOpzuFD1Uno&list=RDlOpzuFD1Uno&start_radio=1,,
The Butterfly,Jig/Slip Jig,7,N/A,Production,,,
Rakish Paddy,Reel,7,N/A,Production,Drowsie Maggie/Rakish Paddy - YouTube,,
Drowsy Maggie,Reel,7,N/A,,,,
The Banshee,Reel,7,N/A,Production,The Banshee - The Silver Spear - YouTube,,
The Silver Spear,Reel,7,N/A,,,,
Sean Sa Cheo,Reel,7,N/A,Bug,George Peoples-Seán Sa Cheo (Seamus Gibson-Neilidh Boyle) | Zoe Conway and John McIntyre - YouTube,,
Cooley's Reel,Reel,7,N/A,Production,youtube.com/watch?v=3LBHKkFbzDg&list=RD-D0xhcu-2dc&index=2,,
The Maid Behind The Bar,Reel,7,N/A,Production,,,
Spootiskerry,Reel,7,N/A,Production,Spootiskerry and Willafjord - Shetland reels - accordion / melodeon - YouTube,,
Willafjord,Reel,7,N/A,Production,,,
Ragged Hank Of Yarn,Reel,7,N/A,Production,The Ragged Hank of Yarn / West Clare Railway / My Love Is in America - YouTube,,
The Ivy Leaf,Reel,7,N/A,Production,The Ivy Leaf (Reel) - YouTube,,
Dinny O'Brien's,Reel,7,N/A,Production,Reels: Dinny O' Brien's / Farewell to Connacht / The Gravel Walks - YouTube,,
Farewell To Connacht,Reel,7,N/A,,,,
